image_filename,source_csv,capture_date,location,crop_type,resolution,device_id,gps_coordinates
atok_paoay_20260213_014946_96074190.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453446 120.590846
atok_paoay_20260213_014954_0b4ab2a2.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453429 120.590837
atok_paoay_20260213_014959_7bbbcff2.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453429 120.590837
atok_paoay_20260213_015218_668a06ad.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453439 120.590853
atok_paoay_20260213_015230_c9a9746e.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453439 120.590853
atok_paoay_20260213_015244_0585c14e.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453423 120.590863
atok_paoay_20260213_015306_ceeb846d.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453423 120.590863
atok_paoay_20260213_015334_cd47f280.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453411 120.590849
atok_paoay_20260213_015455_fdae4e78.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453447 120.590874
atok_paoay_20260213_015502_e24d8808.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453447 120.590874
atok_paoay_20260213_015522_10db84c3.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453447 120.590874
atok_paoay_20260213_015535_3a70696c.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453430 120.590882
atok_paoay_20260213_015546_7ee6cc46.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453430 120.590882
atok_paoay_20260213_015801_10bbb56e.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453461 120.590819
atok_paoay_20260213_015811_faba0868.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453461 120.590819
atok_paoay_20260213_015820_341cf46c.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453461 120.590819
atok_paoay_20260213_015829_96a30446.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453450 120.590833
atok_paoay_20260213_015839_b5b2b6e7.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453450 120.590833
atok_paoay_20260213_020032_3902c0b7.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453450 120.590833
